title,description,categories
The Choice,,dolphins
The Virginian: A Horseman of the Plains,,none
A Walk to Remember,"There was a time when the world was sweeter....when the women in Beaufort, North Carolina, wore dresses, and the men donned hats.... Every April, when the wind smells of both the sea and lilacs, Landon Carter remembers 1958, his last year at Beaufort High. Landon had dated a girl or two, and even once sworn that he'd been in love. Certainly the last person he thought he'd fall for was Jamie, the shy, almost ethereal daughter of the town's Baptist minister....Jamie, who was destined to show him the depths of the human heart-and the joy and pain of living. The inspiration for this novel came from Nicholas Sparks's sister: her life and her courage. From the internationally bestselling author Nicholas Sparks, comes his most moving story yet....",fiction
The Maze Runner,"When Thomas wakes up in the lift, the only thing he can remember is his first name.  His memory is blank.  But he's not alone.  When the lift's doors open, Thomas finds himself surrounded by kids who welcome him to the Glade--a large, open expanse surrounded by stone walls.  Just like Thomas, the Gladers don't know why or how they got to the Glade.  All they know is that every morning the stone doors to the maze that surrounds them have opened.  Every night they've closed tight.  And every 30 days a new boy has been delivered in the lift.  Thomas was expected.  But the next day, a girl is sent up--the first girl to ever arrive in the Glade.  And more surprising yet is the message she delivers.  Thomas might be more important than he could ever guess.  If only he could unlock the dark secrets buried within his mind.  From the Hardcover edition.",fiction
The Westing Game,"Sixteen people were invited to the reading of the very strange will of the very rich Samuel W. Westing. They could become millionaires, depending on how they played the game. The not-quite-perfect heirs were paired, and each pair was given $10,000 and a set of clues (no two sets of clues were alike). All they had to do was find the answer, but the answer to what? The Westing game was tricky and dangerous, but the heirs played on, through blizzards and burglaries and bombs bursting in air. And one of them won! With her own special blend of intricacy, humor, and upside-down perceptions, Ellen Raskin has entangled a remarkable cast of characters in a puzzle-knotted, word-twisting plot. She then deftly unravels it again in a surprising (but fair) and highly satisfying ending. - Back cover.

The mysterious death of an eccentric millionaire brings together an unlikely assortment of heirs who must uncover the circumstances of his death before they can claim their inheritance.",fiction
Misty of Chincoteague,"Nobody could capture the Phantom. She was the wildest mare on Assateague Island. They said she was like the wind, that the white ""map"" on her shoulders was her mark of freedom. Paul and Maureen Beebe had their hearts set on owning her. They were itching to buy and tame her, and worked hard to earn the money she would cost. But the roundup men had tried to capture her and for two years she had escaped them. Pony Penning Day holds a surprise for everyone, for Paul not only brings in the Phantom, but her newborn colt as well. Can Paul and Maureen possibly earn enough to buy them both? -- Back cover.",children's fiction
Diary of a Wimpy Kid: The Last Straw,,none
King Solomon's Mines,"Promoted as “the most amazing book ever written,” King Solomon’s Mines enjoyed lavish success. As far as adventure stories go, this classic tale of English travelers who discover a lost African kingdom rivals Treasure Island.",fiction
The Princess of Cleves,,none
Jacob Have I Loved,"Having felt deprived all her life of schooling, friends, mother, and even her name by her twin sister, Louise finally begins to find her identity.",ficción juvenil
Mrs. Frisby and the Rats of NIMH,"Mrs. Frisby, a widowed mouse with four small children, is faced with a terrible problem. She must move her family to their summer quarters immediately, or face almost certain death. But her youngest son, Timothy, lies ill with pneumonia and must not be moved. Fortunately, she encounters the rats of NIMH, an extraordinary breed of highly intelligent creatures, who come up with a brilliant solution to her dilemma. And Mrs. Frisby in turn renders them a great service.",ficción juvenil
Misery,"Novelist Paul Sheldon has plans to make the difficult transition from writing historical romances featuring heroine Misery Chastain to publishing literary fiction. Annie Wilkes, Sheldon's number one fan, rescues the author from the scene of a car accident. The former nurse takes care of him in her remote house, but becomes irate when she discovers that the author has killed Misery off in his latest book. Annie keeps Sheldon prisoner while forcing him to write a book that brings Misery back to life.

[Source][1]


  [1]: https://stephenking.com/library/novel/misery.html",dope
The Cider House Rules,"Set in rural Maine in the first half of this century, it tells the story of Dr. Wilbur Larch--obstetrician and director of the orphanage in the town of St. Clouds. It is also the story of his favorite orphan, Homer, who is never adopted.",american fiction (fictional works by one author)
King of the Wind,"After a opening chapter at a race course in Windsor, Ontario, in 1920, this novel is a fictionalized biography of the Godolphin Arabian, one of the three stallions who started the thoroughbred breed. Its human hero is the mute horseboy Agba who is present at the birth of the foal in the Sultan's stable in Morocco and names him Sham (Sun). He is chosen to go with the horse as part of a gift to the King of France. The spirited horse suffers many misfortunes and survives only through Agba's faithfulness, but comes at last to glory through the achievements of his sons.",arabian horse
The Once and Future King,"T. H. White's modern classic about King Arthur. This particular edition may have been published in Russia, but it is in fact written in English. I just finished reading this edition on the Open Library. I wonder why it is described as being written in Russian?",adaptations
The Witches,,fiction
The Subtle Knife,"As the boundaries between worlds begin to dissolve, Lyra and her daemon help Will Parry in his search for his father and for a powerful, magical knife.

She had asked: What is he? A friend or an enemy?

The alethiometer answered: He is a murderer.

When she saw the answer, she relaxed at once.

Lyra finds herself in a shimmering, haunted otherworld – Cittàgazze, where soul-eating Spectres stalk the streets and wingbeats of distant angels sound against the sky.

But she is not without allies: twelve-year-old Will Parry, fleeing for his life after taking another's, has also stumbled into this strange new realm.

On a perilous journey from world to world, Lyra and Will uncover a deadly secret: an object of extraordinary and devastating power.

And with every step, they move closer to an even greater threat – and the shattering truth of their own destiny.",fantasy
When You Reach Me,"Winner of the 2010 John Newbery MedalFour mysterious letters change Miranda's world forever.By sixth grade, Miranda and her best friend, Sal, know how to navigate their New York City neighborhood. They know where it's safe to go, like the local grocery store, and they know whom to avoid, like the crazy guy on the corner.But things start to unravel. Sal gets punched by a new kid for what seems like no reason, and he shuts Miranda out of his life. The apartment key that Miranda's mom keeps hidden for emergencies is stolen. And then Miranda finds a mysterious note scrawled on a tiny slip of paper: I am coming to save your friend's life, and my own. I must ask two favors. First, you must write me a letter.The notes keep coming, and Miranda slowly realizes that whoever is leaving them knows all about her, including things that have not even happened yet. Each message brings her closer to believing that only she can prevent a tragic death. Until the final note makes her think she's too late.From the Hardcover edition.",fiction
Carrie,"The story of misfit high-school girl, Carrie White, who gradually discovers that she has telekinetic powers. Repressed by a domineering, ultra-religious mother and tormented by her peers at school, her efforts to fit in lead to a dramatic confrontation during the senior prom. 
([source][1])


----------
Also contained in:

 - [The Shining / 'Salem's Lot / Night Shift / Carrie][2]


----------
See also:

 - [Selected from Carrie][3]


  [1]: https://stephenking.com/library/novel/carrie.html
  [2]: https://openlibrary.org/works/OL19558521W
  [3]: https://openlibrary.org/works/OL11018609W/Selected_from_Carrie",occult & supernatural fiction
The Moon and Sixpence,"The Moon and Sixpence is a fictional novel heavily influenced by the life of French painter Paul Gauguin. The novel is told first-person, dipping episodically into the mind of the artist. Charles Strickland is an English stock broker, who leaves everything behind him in his middle age to live in defiant squalor in Paris as an artist. His genius is eventually recognized by a Dutch painter.",british and irish fiction (fictional works by one author)
The Higher Power of Lucky,"Fearing that her legal guardian plans to abandon her to return to France, ten-year-old aspiring scientist Lucky Trimble determines to run away while also continuing to seek the Higher Power that will bring stability to her life.",abandoned children
"Looking Backward, 2000-1887","A man being put into a hypnotic sleep, is awakened 113 years later to an entirely new social structure.",fiction
The Wings of the Dove,"Beautiful Kate Croy may have been left penniless by her relatives, but her bold, ambitious nature ensures she will not succumb meekly to a life of poverty. If the financial circumstances of Merton Densher, the man she is passionately in love with, are not sufficient to secure her future, perhaps her cunning will. So when Milly Theale arrives in Europe from America, laden with wealth but also gravely ill, Kate sees an opportunity to exploit her vulnerability and devises a plan that will see her and Merton financially provided for. Her scheming is flawed though, for it fails to take into account the inconstancies of the human heart.John Bayley's introduction examines the novel in the context of James's other late, great works.",fiction
The Summer of the Swans,"Sara's life has always flowed smoothly, like the gliding swans on the lake, until her little brother Charlie disappears. Then Sara is forced to see her life in a whole new way.",brothers and sisters
Dangerous Liaisons,"Too Close for Comfort!
Anne: it was a daring deception, but she always put her family first. Her sister desperately needed some time alone and Anne would at least have the chance to study at college. But there was something - someone - she hadn't bargained for....

Hunter Lewis: visiting professor and Anne's very attractive neighbor. He was soon immensely suspicious of her....

However, Hunter's arrogant assumptions about Anne made it easier for her not to let him into her apartment - or into her heart. For it would be disastrous if Hunter discovered that Anne had been left - quite literally - holding the baby!","fiction, general"
Jurassic Park,"Jurassic Park is a 1990 science fiction novel written by Michael Crichton. A cautionary tale about genetic engineering, it presents the collapse of an amusement park showcasing genetically re-created dinosaurs to illustrate the mathematical concept of chaos theory and its real-world implications. A sequel titled The Lost World, also written by Crichton, was published in 1995. In 1997, both novels were re-published as a single book titled Michael Crichton's Jurassic World. In 1996 it was awarded the Secondary BILBY Award.

Also contained in:
[Congo/Jurassic Park](https://openlibrary.org/works/OL8475707W)
[Michael Crichton's Jurassic World](https://openlibrary.org/works/OL14950507W)",dichogamy
The Absolutely True Diary of a Part-time Indian,Budding cartoonist Junior leaves his troubled school on the Spokane Indian Reservation to attend an all-white farm town school where the only other Indian is the school mascot.,race relations
The Grey King,"With the final battle between the Light and the Dark soon approaching, Will sets out on a quest to call for aid. Hidden within the Welsh hills is a magical harp that he must use to wake the Sleepers -- six noble riders who have slept for centuries.

But an illness has robbed Will of nearly all his knowledge of the Old Ones, and he is left only with a broken riddle to guide him in his task. As Will travels blindly through the hills, his journey will bring him face-to-face with the most powerful Lord of the Dark -- the Grey King. The King holds the harp and Sleepers within his lands, and there has yet to be a force strong enough to tear them from his grasp...",fantasy
The Leopard,"Helen simply couldn't believe her eyes when, stranded in the snow in the wilds of Cumberland, she found herself confronted by a leopard. But luckily it was a tame one, and its owner, the mysterious Dominic Lyall, was able to offer Helen shelter in his house. 

Soon, however, the situation turned into a nightmare as she realised that he intended to keep her there, virtually a prisoner - and no one had any idea where to start searching for her! How could she get away? And, as time went by, did she want to get away? 

Yet she was only too well aware that if Dominic did decide to let her go, it would only be because he wanted to get rid of her for good…","fiction, romance, contemporary"
The Mammoth Hunters,"Once again Jean M. Auel opens the door of a time long past to reveal an age of wonder and danger at the dawn of the modern human race. With all the consummate storytelling artistry and vivid authenticity she brought to The Clan of the Cave Bear and its sequel, The Valley of Horses, Jean M. Auel continues the breathtaking epic journey of the woman called Ayla.

Riding Whinney with Jondalar, the man she loves, and followed by the mare’s colt, Ayla ventures into the land of the Mamutoi--the Mammoth Hunters. She has finally found the Others she has been seeking. Though Ayla must learn their different customs and language, she is adopted because of her remarkable hunting ability, singular healing skills, and uncanny fire-making technique. Bringing back the single pup of a lone wolf she has killed, Ayla shows the way she tames animals. She finds women friends and painful memories of the Clan she left behind, and meets Ranec, the dark-skinned, magnetic master carver of ivory, whom she cannot refuse--inciting Jondalar to a fierce jealousy that he tries to control by avoiding her. Unfamiliar with the ways of the Others, Ayla misunderstands, and thinking Jondalar no longer loves her, she turns more to Ranec. Throughout the icy winter the tension mounts, but warming weather will bring the great mammoth hunt and the mating rituals of the Summer Meeting, when Ayla must choose to remain with Ranec and the Mamutoi, or to follow Jondalar on a long journey into an unknown future.",fiction
The Trumpet of the Swan,"Louis, a romantic swan, is in love with the angelic Serena, but he can't tell her how he feels; he has no voice. When he meets eleven-year-old Sam Beaver, a human friend, he goes to school with him to learn how to read and write. Louis' father also helps out; he steals a brass trumpet for his son. In the end, Louis learns to play, wins Serena's heart, and repays the music shop owner for his stolen trumpet. 

Here is a wonderful story of romance, friendship, and determination among animals and humans.",cisnes
The Lucky One,"In his 14th book, bestselling author Nicholas Sparks tells the unforgettable story of a man whose brushes with death lead him to the love of his life. Is there really such thing as a lucky charm? The hero of Nicholas Sparks's new novel believes he's found one in the form of a photograph of a smiling woman he's never met, but who he comes to believe holds the key to his destiny. The chain of events that leads to him possessing the photograph and finding the woman pictured in it is the stuff of love stories only a master such as Sparks can write.",fiction
These Happy Golden Years,"The Ingalls family homesteads on their claim in DeSmet, South Dakota. Fifteen-year-old Laura begins to take schoolteaching jobs to raise money for Mary's college. Laura is surprised when Almanzo Wilder begins to seek her company.",juvenile fiction
Arrowsmith,"Originally published in 1925, after three years of anticipation, the book follows the life of Martin Arrowsmith, a rather ordinary fellow who gets his first taste of medicine at 14 as an assistant to the drunken physician in his home town.

It is Leora Tozer who makes Martin's life extraordinary. With vitality and love, she urges him beyond the confines of the mundane to risk answering his true calling as a scientist and researcher. Not even her tragic death can extinguish her spirit or her impact on Martin's life.

After years of work as a small town doctor and a research scientist, Arrowsmith heads for the West Indies with a serum to halt an epidemic. A tragic turn of events forces him to come to terms with his career and his personal life.

As the son and grandson of physicians, Sinclair Lewis had a store of experiences and imparted knowledge to draw upon for Arrowsmith.",physicians
Julie of the Wolves,"Miyax, like many adolescents, is torn. But unlike most, her choices may determine whether she lives or dies. At 13, an orphan, and unhappily married, Miyax runs away from her husband's parents' home, hoping to reach San Francisco and her pen pal. But she becomes lost in the vast Alaskan tundra, with no food, no shelter, and no idea which is the way to safety. Now, more than ever, she must look hard at who she really is. Is she Miyax, Eskimo girl of the old ways? Or is she Julie (her ""gussak""-white people-name), the modernized teenager who must mock the traditional customs? And when a pack of wolves begins to accept her into their community, Miyax must learn to think like a wolf as well. If she trusts her Eskimo instincts, will she stand a chance of surviving?",juvenile fiction
The Screwtape Letters,"A milestone in the history of popular theology, The Screwtape Letters is an iconic classic on spiritual warfare and the dynamics of temptation.This profound and striking narrative takes the form of a series of letters from Screwtape, a devil high in the Infernal Civil Service, to his nephew Wormwood, a junior colleague engaged in his first mission on earth, trying to secure the damnation of a young man who has just become a Christian. Although the young man initially looks to be a willing victim, he changes his ways and is ""lost"" to the young devil.Dedicated to Lewis's friend and colleague J. R. R. Tolkien, The Screwtape Letters is a timeless classic on spiritual conflict and the psychology of temptation which are part of our religious experience",fiction
The Fall,"Gibbon's masterpiece, which narrates the history of the Roman Empire from the second century a.d. to its collapse in the west in the fifth century and in the east in the fifteenth century, is widely considered the greatest work of history ever written. This abridgment retains the full scope of the original, but in a compass equivalent to a long novel. Casual readers now have access to the full sweep of Gibbon's narrative, while instructors and students have a volume that can be read in a single term. This unique edition emphasizes elements ignored in all other abridgments--in particular the role of religion in the empire and the rise of Islam.From the Trade Paperback edition.",c.
The No. 1 Ladies' Detective Agency,"This first novel in Alexander McCall Smith's widely acclaimed The No. 1 Ladies Detective Agency series tells the story of the delightfully cunning and enormously engaging Precious Ramotswe, who is drawn to her profession to ""help people with problems in their lives.""  Immediately upon setting up shop in a small storefront in Gaborone, she is hired to track down a missing husband, uncover a con man, and follow a wayward daughter.  But the case that tugs at her heart, and lands her in danger, is a missing eleven-year-old boy, who may have been snatched by witchdoctors.The No. 1 Ladies' Detective Agency received two Booker Judges' Special Recommendations and was voted one of the International Books of the Year and the Millennium by the Times Literary Supplement.From the Trade Paperback edition.",fiction
Worst Case,"Best case: survivalThe son of one of New York's wealthiest families is snatched off the street and held hostage. His parents can't save him, because this kidnapper isn't demanding money. Instead, he quizzes his prisoner on the price others pay for his life of luxury. In this exam, wrong answers are fatal.Worst case: deathDetective Michael Bennett leads the investigation. With ten kids of his own, he can't begin to understand what could lead someone to target anyone's children. As another student disappears, one powerful family after another uses their leverage and connections to turn the heat up on the mayor, the press--anyone who will listen--to stop this killer. Their reach extends all the way to the FBI, who send their top Abduction Specialist, Agent Emily Parker. Bennett's life--and love life--suddenly get even more complicated. This case: Detective Michael Bennett is on itBefore Bennett has a chance to protest the FBI's intrusion on his case, the mastermind changes his routine. His plan leads up to the most devastating demonstration yet--one that could bring cataclysmic devastation to every inch of New York. From the shocking first page to the last exhilarating scene, Worst Case is a non-stop thriller from ""America's #1 storyteller"" (Forbes).",fiction
Lost Horizon,"Following a plane crash, Conway, a British consul; his deputy; a missionary; and an American financier find themselves in the enigmatic snow-capped mountains of uncharted Tibet. Here they discover a seemingly perfect hidden community where they are welcomed with gracious hospitality. Intrigued by its mystery, the travellers set about discovering the secret hidden at the shimmering heart of Shangri-La.",fiction
The Gunslinger,"[The Dark Tower][1] I

The Gunslinger is a dark-fantasy by American author Stephen King. It is the first volume in the Dark Tower series.

The Gunslinger was first published in 1982 as a fix-up novel, joining five short stories that had been published between 1978 and 1981. King substantially revised the novel in 2003; this version has remained in print ever since, with the subtitle RESUMPTION.

The story centers upon Roland Deschain, the last gunslinger, who has been chasing his adversary, ""the man in black,"" for many years. The novel fuses Western fiction with fantasy, science fiction, and horror, following Roland's trek through a vast desert and beyond in search of the man in black. Roland meets several people along his journey, including a boy named Jake Chambers, who travels with him part of the way.

""The Gunslinger"" (October 1978)
""The Way Station"" (April 1980)
""The Oracle and the Mountains"" (February 1981)
""The Slow Mutants"" (July 1981)
""The Gunslinger and the Dark Man"" (November 1981)

  [1]: https://openlibrary.org/works/OL81600W/The_Dark_Tower_1-7",succubus
The Slave Dancer,"Kidnapped by the crew of an Africa-bound ship, a thirteen-year-old boy
discovers to his horror that he is on a slaver and his job is to play music for the exercise periods of the
human cargo.",slave trade
Harry Potter and the Half-Blood Prince,"One summer night, when Dumbledore arrives at Privet Drive to collect Harry Potter, his wand hand is blackened and shriveled, but he will not reveal why.

Rumours and suspicion spread through the wizarding world – it feels as if even Hogwarts itself might be under threat.

Harry is convinced that Malfoy bears the Dark Mark: could there be a Death Eater amongst them?

He will need powerful magic and true friends as, with the help of Dumbledore, he investigates Voldemort’s darkest secrets.

([source][2])

Preceded by: [Harry Potter and the Order of the Phoenix][1]
Followed by: [Harry Potter and the Deathly Hallows][3]


----------
Contains:
[Harry Potter and the Half-Blood Prince [3/4]](https://openlibrary.org/works/OL27299760W)
[Harry Potter and the Half-Blood Prince [4/4]](https://openlibrary.org/works/OL27294904W)

  [1]: https://openlibrary.org/works/OL13716955W/Harry_Potter_and_the_Order_of_the_Phoenix
  [2]: https://www.jkrowling.com/book/harry-potter-half-blood-prince/
  [3]: https://openlibrary.org/works/OL82586W/Harry_Potter_and_the_Deathly_Hallows",orphans
Inkheart,"A tie-in to the film. Twelve-year-old Meggie learns that her father, who repairs and binds books for a living, can ""read"" fictional characters to life when one of those characters abducts them and tries to force him into service.",juvenile fiction
Ramona and her Father,"Lately Ramona had the terrible feeling that she was the only happy member of the Quimby family. Since her father lost his job, he seemed too worried to love her anymore. Ramona's mother and big sister Beezus had become awfully busy and and grouchy. Even Picky-picky, the family cat, was grumpy. He didn't like her new cheaper food and had eaten the Quimby's Halloween jack-o'-lantern instead.

Ramona tried everything she could to make things better. With Beezus's help she launched a campaign to stop her father from smoking so much, but he didn't seem to appreciate it. Ramona also tried to act adorable, like kids in TV commercials. Mr. Quimby said the boy who sang the Whopperburger jingle made a million dollars year! Ramona wanted to make a million dollars, too, because then her father would surely be fun again.


----------
Also included in:

 - [The Trouble with Ramona and Beezus](https://openlibrary.org/works/OL17377136W)",fathers
Inkspell,,none
Ramona the Pest,"Ramona the Pest, by Beverly Cleary, is the second book of the Ramona series and the first to focus on Ramona Quimby as the protagonist. This children's book chronicles the adventures of Ramona's first few months at kindergarten. The book's title is derived from the characterization of Ramona as a ""pest"" by many, including her older sister Beatrice, known as ""Beezus."" Ramona the Pest was first published in 1968 and featured illustrations by Louis Darling. 

In 2012 it was ranked number 24 on a list of the top 100 children's novels published by School Library Journal.


----------
Also included in:

 - [Best of Ramona](https://openlibrary.org/works/OL20587275W)
 - [Trouble with Ramona and Beezus](https://openlibrary.org/works/OL17377136W)",humorous stories
Walk Two Moons,"After her mother leaves home suddenly, thirteen-year-old Sal and her grandparents take a car trip retracing her mother's route. Along the way, Sal recounts the story of her friend Phoebe, whose mother also left.",adolescentes
Miss Peregrine's Home for Peculiar Children,"A mysterious island. An abandoned orphanage. A strange collection of peculiar photographs. It all waits to be discovered in Miss Peregrine's Home for Peculiar Children, and unforgettable novel that mixes fiction and photography in a thrilling reading experience. As our story opens, a horrific family tragedy sets sixteen-year-old Jacob journeying to a remote island off the coast of Wales, where he discovers the crumbling ruins of Miss Peregrine's Home for Peculiar Children. As Jacob explores its decaying bedrooms and hallways, it becomes clear that Miss Peregrine's children were more than just peculiar. They may have been dangerous. They may have been quarantined on a deserted island for good reason. And somehow - impossible though it seems - they may still be alive. (Book cover)",orphanages
The Chocolate War,A high school freshman discovers the devastating consequences of refusing to join in the school's annual fund raising drive and arousing the wrath of the school bullies,gangs
Sophie's Choice,"The gripping, unforgettable story of Stingo, a 22-year-old writer; Sophie, a Polish-Catholic beauty who survived the Nazi concentration camp at Auschwitz; and Nathan, her mercurial lover. The three friends share magical, heart-warming times until doom overtakes them as Sophie's and Nathan's darkest secrets are revealed.",fiction
Looking for Alaska,"Before. Miles “Pudge” Halter is done with his safe life at home. His whole life has been one big non-event, and his obsession with famous last words has only made him crave “the Great Perhaps” even more (Francois Rabelais, poet). He heads off to the sometimes crazy and anything-but-boring world of Culver Creek Boarding School, and his life becomes the opposite of safe. Because down the hall is Alaska Young. The gorgeous, clever, funny, sexy, self-destructive, screwed up, and utterly fascinating Alaska Young. She is an event unto herself. She pulls Pudge into her world, launches him into the Great Perhaps, and steals his heart. Then. . . . 
After. Nothing is ever the same.",fiction
Breakfast at Tiffany's,"Published with three short stories this novella cemented Capote’s position at the forefront of American literature. It is the story of a friendship between New York neighbours, good time girl Holly Golightly and the unnamed male narrator.",american short stories
The Razor's Edge,"This novel, supposedly based on the life of an acquaintance of Maugham, follows the fortunes of an American pilot who, traumatized by war, rejects his former conventional life to search for a more meaningful existence. After studying in Paris for two years he decides to travel, taking various menial jobs. Although being influenced by some of the people he meets it is not until he reaches India that he begins to find peace.","world war, 1914-1918"
Dreamcatcher,"Dreamcatcher is a 2001 science fiction horror novel by American writer Stephen King, featuring elements of body horror, suspense and alien invasion.",male friendship
Orlando,"In her most exuberant, most fanciful novel, Woolf has created a character liberated from the restraints of time and sex. Born in the Elizabethan Age to wealth and position, Orlando is a young nobleman at the beginning of the story-and a modern woman three centuries later.",nobility in fiction
The Things they Carried,"*The Things They Carried* (1990) is a collection of linked short stories by American novelist Tim O'Brien, about a platoon of American soldiers fighting on the ground in the Vietnam War. His third book about the war, it is based upon his experiences as a soldier in the 23rd Infantry Division.",reading level-grade 9
Little Town on the Prairie,"Pa's homestead thrives, Laura gets her first job in town, blackbirds eat the corn and oats crops, Mary goes to college, and Laura gets into trouble at school, but becomes a certified school teacher.",families
Nights in Rodanthe,"From the #1 New York Times bestselling author Nicholas Sparks comes a tender story of hope and joy; of sacrifice and forgiveness -- a moving reminder that love is possible at any age, at any time, and often comes when we least expect it. At forty-five, Adrienne Willis must rethink her entire life when her husband abandons her for a younger woman. Reeling with heartache and in search of a respite, she flees to the small coastal town of Rodanthe, North Carolina to tend to a friend's inn for the weekend. But when a major storm starts moving in, it appears that Adrienne's perfect getaway will be ruined -- until a guest named Paul Flanner arrives. At fifty-four, Paul has just sold his medical practice and come to Rodanthe to escape his own shattered past. Now, with the storm closing in, two wounded people will turn to each other for comfort -- and in one weekend set in motion feelings that will resonate throughout the rest of their lives.


Did You Know?---
The main characters' names were Christmas presents to Nicholas's in-laws (Paul and Adrienne)?
This was Nicholas's first book to debut at #1?",divorced people
The Amber Spyglass,"In the astonishing finale to the His Dark Materials trilogy, Lyra and Will are in unspeakable danger. With help from Iorek Byrnison the armored bear and two tiny Gallivespian spies, they must journey to a dank and gray-lit world where no living soul has ever gone. All the while, Dr. Mary Malone builds a magnificent Amber Spyglass. An assassin hunts her down, and Lord Asriel, with a troop of shining angels, fights his mighty rebellion, in a battle of strange allies—and shocking sacrifice.

As war rages and Dust drains from the sky, the fate of the living—and the dead—finally comes to depend on two children and the simple truth of one simple story.",fantasy
The Miraculous Journey of Edward Tulane,"Once, in a house on Egypt Street, there lived a china rabbit named Edward Tulane. The rabbit was very pleased with himself, and for good reason: he was owned by a girl named Abilene, who adored him completely. And then, one day, he was lost...Kate DiCamillo takes us on an extraordinary journey, from the depths of the ocean to the net of a fisherman, from the bedside of an ailing child to the bustling streets of Memphis. Along the way, we are shown a miracle—that even a heart of the most breakable kind can learn to love, to lose, and to love again.",juguetes
Flatland,"Flatland: A Romance of Many Dimensions, though written in 1884, is still considered useful in thinking about multiple dimensions. It is also seen as a satirical depiction of Victorian society and its hierarchies. A square, who is a resident of the two-dimensional Flatland, dreams of the one-dimensional Lineland. He attempts to convince the monarch of Lineland of the possibility of another dimension, but the monarch cannot see outside the line. The square is then visited himself by a Sphere from three-dimensional Spaceland, who must show the square Spaceland before he can conceive it. As more dimensions enter the scene, the story's discussion of fixed thought and the kind of inhuman action which accompanies it intensifies.",fourth dimension
Diary of a Wimpy Kid,"Greg Heffley finds thrust into middle school, where undersized weaklings like him share the hallways with much bigger kids who are already shaving. But nothing scares Greg more than the moldy piece of cheese on the blacktop. Can he and his best friend, Rowley Jefferson, make it through the year without getting the Cheese Touch?",school stories
The Memory Keeper's Daughter,"The Memory Keeper's Daughter is a novel by American author Kim Edwards that tells the story of a man who gives away his newborn daughter, who has Down syndrome, to one of the nurses. Published by Viking Press in June 2005, the novel garnered great interest via word of mouth in the summer of 2006 and placed on the New York Times Paperback Bestsellers List. The novel was adapted into a television film and premiered on Lifetime Television on April 12, 2008.",women
The Wedding,"Lairds' Fiancées #2
Journeying from England to Scotland to wed a highlander, Lady Brenna had resigned herself to the arranged match. But when a band of fierce, painted warriors captured her en route, she fearlessly met their demand to marry their leader -- the quick-tempered laird Connor MacAlister. She couldn't know that her capture was merely the first act of vengeance against her betrothed, Connor's sworn enemy. Brenna harbored no illusions that her husband was in love with her; after a hasty forest wedding, MacAlister assured her she could return home once she had borne him a son. But she could not deny that she had once proposed to MacAlister -- ten years ago, when she was just a child, and the visitor to her father's castle charmed her with his dazzling, unexpected smile. Now, as she sets out to win the brave chieftain whom she has come to adore, a legacy of revenge ensnares Brenna in a furious clan war -- and only her faith in her gallant hero can save her...

Lairds' Fiancées:
The Bride (Lairds' Fiancées, #1)
The Wedding (Lairds' Fiancées, #2)","fiction, romance, historical"
Fried Green Tomatoes at the Whistle-Stop Cafe,"Folksy and fresh, endearing and affecting, Fried Green Tomatoes at the Whistle Stop Cafe is a now-classic novel about two women: Evelyn, who’s in the sad slump of middle age, and gray-headed Mrs. Threadgoode, who’s telling her life story. Her tale includes two more women—the irrepressibly daredevilish tomboy Idgie and her friend Ruth—who back in the thirties ran a little place in Whistle Stop, Alabama, offering good coffee, southern barbecue, and all kinds of love and laughter—even an occasional murder. And as the past unfolds, the present will never be quite the same again.",race relations
The Cricket in Times Square,,none
The Phantom Tollbooth,"The Phantom Tollbooth is a children's fantasy adventure novel written by Norton Juster with illustrations by Jules Feiffer. It was published in 1961 by Random House (USA). It tells the story of a bored young boy named Milo who unexpectedly receives a magic tollbooth one afternoon and, having nothing better to do, drives through it in his toy car, transporting him to the Kingdom of Wisdom, once prosperous but now troubled. There, he acquires two faithful companions, a dog named Tock and the Humbug, and goes on a quest to restore to the kingdom its exiled princesses—named Rhyme and Reason—from the Castle in the Air. In the process, he learns valuable lessons, finding a love of learning. The text is full of puns and wordplay, such as when Milo unintentionally jumps to Conclusions, an island in Wisdom, thus exploring the literal meanings of idioms.",letters
Rob Roy,"A historical novel first published in 1817, this was one of the first popular novels to attempt the use of regional dialect, in this case both Scottish highland and lowland dialects with a glossary of Scottish words. The story is set immediately before the Jacobite Rising of 1715 and follows the narrator, an English merchant, to Scotland in pursuit of a debt. Here he encounters Rob Roy MacGregor, a larger-than-life character fighting for social justice for his kinsmen.",scottish fiction
